MARKET,SITE,CLIENT,INITIATION DATE,EXPECTED CLOSE,STAGE,CAPACITY (MW),TYPE,PRICING,PRICING DATE
New Mexico,,Acme Energy,,2026-04-12,Proposal,638,Offshore Wind,2394546066,
Florida,,CleanGrid Solutions,,2026-05-19,Qualification,298,Hybrid Solar+Storage,316809760,
Arizona,,SolarTech Inc,,,Negotiation,484,Solar PV,505445556,
California,,,,,Contract Signed,173,Battery Storage,124688539,
New Mexico,,WindForce LLC,,2027-01-08,Pre-Qualification,359,Hybrid Solar+Storage,386995897,
California,,EcoWatt Systems,,2026-01-20,Contract Signed,403,Wind Farm,671819135,
Florida,,FutureGen Energy,,2026-08-10,Pre-Qualification,422,Solar PV,356346506,
Oregon,,FutureGen Energy,,2026-08-16,Pre-Qualification,510,Wind Farm,721465890,
Utah,,Acme Energy,,2026-01-14,Contract Signed,350,Offshore Wind,1679365450,
Utah,,GreenPower Corp,,2026-03-11,Negotiation,126,Solar PV,109643562,
New Mexico,,,,2026-12-11,Pre-Qualification,307,Hybrid Solar+Storage,443082355,
Texas,,CleanGrid Solutions,,2026-11-30,Pre-Qualification,499,Offshore Wind,1828569033,
California,,CleanGrid Solutions,,2026-11-02,Pre-Qualification,202,Hybrid Solar+Storage,244061046,
New Mexico,,WindForce LLC,,2026-06-05,Qualification,198,Solar PV,180638370,
Colorado,,PowerNow Industries,,2026-03-29,Negotiation,317,Solar PV,269790141,
Texas,,BrightEnergy Co,,2026-02-12,Negotiation,118,Hybrid Solar+Storage,128296090,
Nevada,,CleanGrid Solutions,,,Proposal,139,Hybrid Solar+Storage,173493545,
Colorado,,CleanGrid Solutions,,2026-03-28,Negotiation,173,Solar PV,146388967,
Washington,,GreenPower Corp,,2026-08-18,Qualification,588,Wind Farm,874064352,
New Mexico,,Acme Energy,,2026-01-12,Contract Signed,210,Wind Farm,318858120,
Utah,,CleanGrid Solutions,,2026-03-08,Negotiation,112,Battery Storage,60119248,
Florida,,Acme Energy,,2026-02-16,,215,Hybrid Solar+Storage,230655225,
Oregon,,CleanGrid Solutions,,2026-03-26,Proposal,388,Hybrid Solar+Storage,480273384,
Florida,,BrightEnergy Co,,2026-01-15,Contract Signed,112,Solar PV,133068656,
Colorado,,FutureGen Energy,,2026-08-29,Qualification,409,Offshore Wind,1345450081,
Washington,,CleanGrid Solutions,,2026-08-21,Qualification,266,Offshore Wind,1101964850,
Nevada,,BrightEnergy Co,,2026-03-22,Negotiation,361,Hybrid Solar+Storage,400103159,
Utah,,WindForce LLC,,2026-01-18,Contract Signed,106,Hybrid Solar+Storage,127938926,
Arizona,,GreenPower Corp,,2026-03-10,Negotiation,538,Wind Farm,814162394,
Colorado,,RenewableFirst,,2026-08-22,Qualification,706,Offshore Wind,2573807720,
Texas,,CleanGrid Solutions,,2026-05-24,Qualification,668,Offshore Wind,3271024324,
Arizona,,FutureGen Energy,,2026-05-10,Qualification,773,Offshore Wind,3669368387,
Oregon,,CleanGrid Solutions,,2026-06-26,Qualification,483,Solar PV,442428966,
Colorado,,BrightEnergy Co,,2026-08-10,Qualification,473,Wind Farm,806832048,
Utah,,PowerNow Industries,,2026-03-18,Negotiation,399,Wind Farm,627838869,
Florida,,GreenPower Corp,,2026-03-21,Negotiation,295,Solar PV,317026470,
Utah,,WindForce LLC,,2026-02-02,,394,Hybrid Solar+Storage,538818640,
California,,RenewableFirst,,2026-11-19,Pre-Qualification,294,Offshore Wind,1460349450,
New Mexico,,WindForce LLC,,2026-09-05,Pre-Qualification,699,Offshore Wind,3033882282,
Colorado,,GreenPower Corp,,2026-09-20,Pre-Qualification,211,Wind Farm,266518109,
Arizona,,RenewableFirst,,2026-08-29,Qualification,236,Offshore Wind,741469756,
Texas,,SolarTech Inc,,2026-06-17,Qualification,108,Wind Farm,147334140,
California,,EcoWatt Systems,,2026-02-03,Contract Signed,166,Solar PV,163211034,
Washington,,WindForce LLC,,2026-04-02,Negotiation,181,Battery Storage,135417503,
Florida,,CleanGrid Solutions,,2026-11-24,Pre-Qualification,637,Offshore Wind,2447052062,
Texas,,SolarTech Inc,,2026-11-27,Pre-Qualification,101,Hybrid Solar+Storage,110236349,
California,,BrightEnergy Co,,2026-11-19,Pre-Qualification,182,Battery Storage,85133048,
New Mexico,,SolarTech Inc,,2026-11-25,Pre-Qualification,339,Wind Farm,557886198,
Florida,,WindForce LLC,,2026-04-27,Proposal,477,Wind Farm,819745965,
Utah,,EcoWatt Systems,,2026-06-02,Proposal,584,Wind Farm,761649296,
Arizona,,Acme Energy,,2026-03-21,Proposal,617,Offshore Wind,2828159559,
Utah,,WindForce LLC,,2026-05-30,Qualification,508,Offshore Wind,2304471896,
California,,EcoWatt Systems,,2026-05-01,Proposal,138,Hybrid Solar+Storage,152079864,
Utah,,EcoWatt Systems,,2026-09-01,Qualification,177,Battery Storage,95335209,
Washington,,CleanGrid Solutions,,2026-02-24,Negotiation,82,Battery Storage,44126168,
California,,CleanGrid Solutions,,2026-10-03,Pre-Qualification,788,Offshore Wind,3780716044,
New Mexico,,WindForce LLC,,2026-10-09,Pre-Qualification,261,Solar PV,280370376,
Arizona,,CleanGrid Solutions,,2026-03-28,Proposal,554,Offshore Wind,1883573408,
Arizona,,BrightEnergy Co,,2026-01-10,Contract Signed,386,Hybrid Solar+Storage,512674778,
Texas,,PowerNow Industries,,2026-08-06,Pre-Qualification,112,Hybrid Solar+Storage,142208416,
Texas,,WindForce LLC,,2026-09-17,Pre-Qualification,321,Wind Farm,509199090,
Florida,,RenewableFirst,,2026-07-20,Qualification,364,Solar PV,314501460,
Arizona,,RenewableFirst,,2026-11-03,Pre-Qualification,382,Solar PV,423592160,
California,,FutureGen Energy,,2026-04-24,Proposal,310,Solar PV,249549690,
California,,FutureGen Energy,,2026-08-27,Pre-Qualification,126,Battery Storage,99309042,
Arizona,,BrightEnergy Co,,2026-01-19,Contract Signed,136,Hybrid Solar+Storage,175279520,
Texas,,Acme Energy,,2026-08-05,Pre-Qualification,281,Hybrid Solar+Storage,323103354,
Washington,,PowerNow Industries,,2026-07-07,Qualification,381,Hybrid Solar+Storage,453105774,
Florida,,Acme Energy,,2026-03-20,Negotiation,329,Hybrid Solar+Storage,421506246,
Texas,,Acme Energy,,2026-05-09,Proposal,320,Offshore Wind,996779520,
Nevada,,CleanGrid Solutions,,2026-01-22,Contract Signed,318,Wind Farm,533161980,
Utah,,BrightEnergy Co,,2026-03-13,Proposal,195,Battery Storage,112959405,
Nevada,,BrightEnergy Co,,2026-09-30,Pre-Qualification,131,Wind Farm,198042525,
California,,FutureGen Energy,,2026-07-16,Pre-Qualification,355,Wind Farm,464110670,
Washington,,Acme Energy,,2026-05-15,Proposal,101,Wind Farm,140241429,
New Mexico,,Acme Energy,,2026-05-18,Qualification,278,Offshore Wind,989077574,
Washington,,Acme Energy,,2026-06-14,Qualification,578,Wind Farm,791644406,
Arizona,,WindForce LLC,,2026-10-29,Pre-Qualification,69,Battery Storage,39237747,
Colorado,,SolarTech Inc,,2026-05-29,Qualification,101,Hybrid Solar+Storage,101084739,
New Mexico,,RenewableFirst,,2026-01-26,Contract Signed,275,Solar PV,277043800,
California,,PowerNow Industries,,2026-01-26,Contract Signed,164,Battery Storage,83981120,
Washington,,PowerNow Industries,,,Qualification,352,Offshore Wind,1508247840,
Texas,,Acme Energy,,2026-07-12,Qualification,731,Offshore Wind,3411430800,
Florida,,,,2026-07-15,Qualification,304,Solar PV,348896544,
Texas,,BrightEnergy Co,,2026-07-22,Pre-Qualification,188,Solar PV,159164372,
Florida,,SolarTech Inc,,2026-08-06,Qualification,292,Offshore Wind,939308520,
Arizona,,SolarTech Inc,,2026-02-11,Negotiation,306,Solar PV,315345852,
Oregon,,BrightEnergy Co,,2026-02-13,Negotiation,204,Wind Farm,314479056,
Oregon,,FutureGen Energy,,2026-03-20,Negotiation,80,Solar PV,85708720,
Texas,,,,2026-03-04,Negotiation,159,Hybrid Solar+Storage,192635337,
Utah,,GreenPower Corp,,2026-10-10,Pre-Qualification,698,Offshore Wind,3306904828,
Florida,,SolarTech Inc,,2026-05-06,Proposal,314,Hybrid Solar+Storage,357574722,
New Mexico,,GreenPower Corp,,2026-02-16,Negotiation,299,Hybrid Solar+Storage,365073618,
Washington,,Acme Energy,,2026-01-14,Contract Signed,82,Battery Storage,60439576,
Colorado,,PowerNow Industries,,2026-02-10,Negotiation,427,Solar PV,403260935,
Utah,,SolarTech Inc,,2026-01-22,Contract Signed,149,Hybrid Solar+Storage,157662413,
Arizona,,Acme Energy,,2026-04-02,Negotiation,461,Wind Farm,774598016,
Utah,,EcoWatt Systems,,2026-05-23,Qualification,462,Solar PV,484840818,
New Mexico,,SolarTech Inc,,2026-05-01,Proposal,181,Battery Storage,131225000,
California,,FutureGen Energy,,2026-03-30,,68,Battery Storage,45451268,
Washington,,WindForce LLC,,2026-08-15,Qualification,296,Solar PV,352722184,
Utah,,CleanGrid Solutions,,2026-06-01,Proposal,745,Offshore Wind,3647026065,
Utah,,CleanGrid Solutions,,2026-01-24,Contract Signed,432,Wind Farm,713893392,
California,,BrightEnergy Co,,2026-05-27,Qualification,481,Wind Farm,581486191,
Utah,,GreenPower Corp,,,,217,Hybrid Solar+Storage,276045049,
New Mexico,,GreenPower Corp,,2026-04-23,Proposal,750,Offshore Wind,2893533000,
Washington,,GreenPower Corp,,2026-05-26,Proposal,458,Solar PV,386157204,
Nevada,,Acme Energy,,,Negotiation,196,Solar PV,192155656,
Washington,,PowerNow Industries,,2026-08-09,Qualification,456,Offshore Wind,1925513352,
Arizona,,EcoWatt Systems,,2026-09-03,Qualification,683,Offshore Wind,2873475937,
Colorado,,SolarTech Inc,,2026-01-28,Contract Signed,578,Wind Farm,832899156,
Utah,,RenewableFirst,,2026-11-22,Pre-Qualification,299,Wind Farm,370126419,
Utah,,,,2026-01-15,Contract Signed,628,Offshore Wind,2955778712,
Nevada,,SolarTech Inc,,2026-05-16,Proposal,372,Solar PV,427224516,
New Mexico,,FutureGen Energy,,2026-11-04,Pre-Qualification,455,Offshore Wind,2264130050,
Florida,,RenewableFirst,,2026-05-15,Proposal,347,Wind Farm,590768888,
California,,,,2026-06-06,Proposal,48,Battery Storage,30601680,
Oregon,,,,2026-03-17,Proposal,692,Offshore Wind,2802058856,
Texas,,,,2026-05-25,Proposal,351,Offshore Wind,1314252459,
Washington,,FutureGen Energy,,2026-01-09,Contract Signed,156,Hybrid Solar+Storage,209211288,
Nevada,,CleanGrid Solutions,,2026-03-20,Negotiation,668,Offshore Wind,2818956660,
Arizona,,FutureGen Energy,,2026-08-06,Pre-Qualification,163,Battery Storage,108390762,
California,,,,2026-09-17,Pre-Qualification,771,Offshore Wind,2444935062,
Texas,,PowerNow Industries,,2026-07-24,Pre-Qualification,345,Hybrid Solar+Storage,354352605,
Arizona,,PowerNow Industries,,2026-03-11,Proposal,464,Wind Farm,623984416,
Washington,,SolarTech Inc,,2026-01-31,Contract Signed,137,Battery Storage,58355424,
Utah,,Acme Energy,,2026-01-27,Contract Signed,252,Wind Farm,408505356,
Oregon,,FutureGen Energy,,2026-05-22,Proposal,325,Offshore Wind,1402322025,
Arizona,,EcoWatt Systems,,2026-08-31,Pre-Qualification,226,Hybrid Solar+Storage,289188244,
Washington,,PowerNow Industries,,2026-04-08,Proposal,361,Offshore Wind,1660319142,
California,,,,2026-03-11,Negotiation,599,Offshore Wind,2170340527,
Nevada,,CleanGrid Solutions,,2026-02-17,Negotiation,302,Hybrid Solar+Storage,391801814,
Utah,,RenewableFirst,,2026-07-19,Pre-Qualification,479,Solar PV,498233766,
Florida,,,,2026-02-09,Negotiation,425,Solar PV,347622800,
New Mexico,,EcoWatt Systems,,2026-06-06,Qualification,414,Wind Farm,594528840,
Colorado,,,,2026-03-29,Negotiation,143,Wind Farm,233474813,
Oregon,,SolarTech Inc,,2026-11-01,Pre-Qualification,238,Wind Farm,339952536,
Arizona,,RenewableFirst,,,Negotiation,44,Battery Storage,25721036,
Utah,,WindForce LLC,,,Negotiation,428,Wind Farm,546111736,
Florida,,Acme Energy,,2026-05-16,Proposal,98,Battery Storage,57165458,
Washington,,RenewableFirst,,2026-04-21,Proposal,158,Battery Storage,70357242,
Texas,,FutureGen Energy,,2026-03-28,Negotiation,258,Offshore Wind,807787938,
Washington,,CleanGrid Solutions,,2026-08-26,Qualification,490,Solar PV,526392300,
California,,PowerNow Industries,,2026-03-12,Proposal,447,Wind Farm,720531816,
Oregon,,RenewableFirst,,2026-02-19,,364,Solar PV,376254424,
New Mexico,,BrightEnergy Co,,2026-10-26,Pre-Qualification,260,Solar PV,226238740,
Utah,,FutureGen Energy,,,Proposal,420,Solar PV,419585880,
Arizona,,SolarTech Inc,,2026-12-15,Pre-Qualification,471,Wind Farm,621441639,
Colorado,,BrightEnergy Co,,2026-03-19,Negotiation,136,Battery Storage,82733016,
Arizona,,BrightEnergy Co,,2026-08-05,Pre-Qualification,84,Solar PV,81080412,
Texas,,GreenPower Corp,,2026-10-12,,247,Wind Farm,416054210,
Texas,,EcoWatt Systems,,2026-08-17,Pre-Qualification,361,Hybrid Solar+Storage,511932656,
California,,CleanGrid Solutions,,2026-04-16,Proposal,71,Battery Storage,34632664,
Nevada,,PowerNow Industries,,2026-01-24,Contract Signed,444,Solar PV,429976260,
California,,RenewableFirst,,2026-05-17,Qualification,307,Solar PV,272335095,
California,,EcoWatt Systems,,2026-08-20,Pre-Qualification,67,Battery Storage,37777414,
Oregon,,BrightEnergy Co,,2026-03-09,Negotiation,395,Hybrid Solar+Storage,451818380,
Texas,,FutureGen Energy,,2026-05-18,Qualification,109,Hybrid Solar+Storage,124248446,
Arizona,,WindForce LLC,,2026-01-23,Contract Signed,481,Offshore Wind,2164956469,
Nevada,,,,2026-06-15,Qualification,87,Hybrid Solar+Storage,103547835,
Texas,,RenewableFirst,,2026-03-06,Negotiation,345,Offshore Wind,1408932045,
Washington,,,,2026-02-07,,249,Hybrid Solar+Storage,325638714,
Nevada,,GreenPower Corp,,2026-01-28,Contract Signed,423,Solar PV,364774473,
Arizona,,Acme Energy,,2026-05-10,Proposal,472,Wind Farm,705319512,
Arizona,,GreenPower Corp,,2026-02-07,Contract Signed,304,Hybrid Solar+Storage,317203328,
Florida,,BrightEnergy Co,,2026-09-29,Pre-Qualification,128,Battery Storage,57130880,
New Mexico,,BrightEnergy Co,,2026-07-13,Pre-Qualification,744,Offshore Wind,2706414576,
Utah,,WindForce LLC,,2026-06-28,Qualification,384,Solar PV,425230848,
Nevada,,GreenPower Corp,,2026-01-27,Contract Signed,300,Wind Farm,382478100,
Nevada,,PowerNow Industries,,2026-02-07,Contract Signed,412,Offshore Wind,1714979664,
Arizona,,WindForce LLC,,2026-02-01,Contract Signed,163,Battery Storage,128631124,
California,,EcoWatt Systems,,2026-12-15,Pre-Qualification,363,Offshore Wind,1228845750,
Florida,,PowerNow Industries,,2026-03-24,Negotiation,456,Solar PV,377928240,
New Mexico,,WindForce LLC,,2026-06-27,Qualification,124,Hybrid Solar+Storage,172112000,
Nevada,,FutureGen Energy,,2026-04-07,Proposal,248,Hybrid Solar+Storage,309332136,
Utah,,GreenPower Corp,,2026-03-31,Negotiation,441,Wind Farm,759599127,
California,,SolarTech Inc,,2026-01-20,Contract Signed,661,Offshore Wind,3168909354,
Oregon,,PowerNow Industries,,2026-11-20,Pre-Qualification,36,Battery Storage,27351360,
Utah,,SolarTech Inc,,2026-02-25,Negotiation,158,Solar PV,180794660,
Utah,,WindForce LLC,,2026-01-18,Contract Signed,490,Solar PV,416809680,
Texas,,PowerNow Industries,,2026-12-23,Pre-Qualification,328,Wind Farm,484819096,
Nevada,,WindForce LLC,,2026-03-14,Proposal,335,Hybrid Solar+Storage,351141305,
Florida,,RenewableFirst,,2026-09-15,Pre-Qualification,61,Battery Storage,28766990,
Utah,,WindForce LLC,,2026-02-27,,103,Solar PV,97365591,
Nevada,,CleanGrid Solutions,,2026-01-20,Contract Signed,75,Battery Storage,36362775,
Colorado,,WindForce LLC,,2026-09-07,Pre-Qualification,311,Wind Farm,380600867,
New Mexico,,FutureGen Energy,,2026-07-15,Qualification,273,Wind Farm,388755822,
Nevada,,WindForce LLC,,2026-03-19,Negotiation,173,Battery Storage,125636406,
Florida,,FutureGen Energy,,2026-07-26,,85,Solar PV,73577105,
Nevada,,WindForce LLC,,,Contract Signed,782,Offshore Wind,2912828790,
Oregon,,EcoWatt Systems,,2026-02-18,Negotiation,318,Offshore Wind,1433248578,
Nevada,,EcoWatt Systems,,2026-08-12,Qualification,284,Hybrid Solar+Storage,325725564,
Texas,,PowerNow Industries,,2026-06-29,Qualification,675,Offshore Wind,2947633200,
Arizona,,PowerNow Industries,,2026-01-26,Contract Signed,724,Offshore Wind,2569604872,
Nevada,,SolarTech Inc,,2026-05-11,Qualification,548,Offshore Wind,2123692348,
California,,BrightEnergy Co,,2026-04-27,Proposal,37,Battery Storage,25713076,
Colorado,,EcoWatt Systems,,2026-12-24,Pre-Qualification,781,Offshore Wind,3742076371,
Colorado,,WindForce LLC,,2026-01-09,Contract Signed,352,Offshore Wind,1453964864,
Colorado,,WindForce LLC,,2026-06-18,Qualification,180,Solar PV,215277300,
Oregon,,SolarTech Inc,,2026-03-20,Negotiation,142,Battery Storage,82054558,
Texas,,RenewableFirst,,,Proposal,204,Hybrid Solar+Storage,241466232,
Texas,,PowerNow Industries,,,Pre-Qualification,496,Solar PV,537734928,
Florida,,WindForce LLC,,2026-08-10,Pre-Qualification,128,Battery Storage,92185216,
Utah,,PowerNow Industries,,2026-07-09,Pre-Qualification,335,Hybrid Solar+Storage,444457565,
New Mexico,,Acme Energy,,2026-08-31,Pre-Qualification,444,Wind Farm,613957872,
Nevada,,BrightEnergy Co,,2026-09-28,Pre-Qualification,449,Solar PV,379704483,
Washington,,FutureGen Energy,,2026-11-27,Pre-Qualification,275,Solar PV,286980375,
Colorado,,Acme Energy,,2026-06-06,Qualification,390,Hybrid Solar+Storage,507724620,
New Mexico,,WindForce LLC,,2026-10-28,Pre-Qualification,277,Wind Farm,414013895,
California,,RenewableFirst,,2026-06-06,,258,Solar PV,208147692,
Colorado,,,,2026-01-16,Contract Signed,271,Solar PV,229110446,
Oregon,,RenewableFirst,,2026-03-24,Negotiation,214,Wind Farm,380376868,
California,,PowerNow Industries,,2026-01-11,Contract Signed,451,Wind Farm,770500577,
Texas,,WindForce LLC,,2026-03-03,Negotiation,116,Battery Storage,55117980,
Washington,,EcoWatt Systems,,2026-07-12,Qualification,58,Battery Storage,29915240,
California,,GreenPower Corp,,2026-05-16,Proposal,89,Solar PV,102029600,
Oregon,,SolarTech Inc,,2026-04-04,Negotiation,302,Hybrid Solar+Storage,335043632,
Arizona,,CleanGrid Solutions,,2026-01-30,Contract Signed,94,Battery Storage,40614580,
Washington,,EcoWatt Systems,,2026-05-20,Qualification,540,Offshore Wind,2364483960,
Arizona,,RenewableFirst,,2026-01-14,Contract Signed,69,Battery Storage,47083530,
Oregon,,GreenPower Corp,,2026-07-20,Qualification,357,Hybrid Solar+Storage,490670439,
Colorado,,GreenPower Corp,,2026-01-29,Contract Signed,280,Hybrid Solar+Storage,389286800,
Oregon,,BrightEnergy Co,,2026-02-26,Negotiation,553,Wind Farm,899911831,
Colorado,,PowerNow Industries,,2026-02-17,Negotiation,338,Hybrid Solar+Storage,438874072,
Texas,,BrightEnergy Co,,2026-04-25,Proposal,771,Offshore Wind,2615888121,
Nevada,,SolarTech Inc,,2026-02-03,Contract Signed,387,Hybrid Solar+Storage,418343904,
New Mexico,,RenewableFirst,,2026-11-04,Pre-Qualification,301,Solar PV,294675689,
New Mexico,,CleanGrid Solutions,,2026-02-22,Negotiation,124,Solar PV,120422972,
Oregon,,FutureGen Energy,,2026-08-20,Pre-Qualification,95,Solar PV,100743700,
Texas,,CleanGrid Solutions,,2026-03-26,Negotiation,81,Battery Storage,32646483,
Colorado,,FutureGen Energy,,,Negotiation,184,Hybrid Solar+Storage,271074504,
Utah,,GreenPower Corp,,2026-05-05,Proposal,289,Offshore Wind,1388288663,
New Mexico,,,,2026-07-25,Pre-Qualification,316,Wind Farm,541253648,
California,,BrightEnergy Co,,2026-03-30,Proposal,107,Solar PV,86530258,
Florida,,SolarTech Inc,,2026-01-21,Contract Signed,80,Hybrid Solar+Storage,81715760,
New Mexico,,FutureGen Energy,,2026-12-10,Pre-Qualification,151,Battery Storage,72870637,
Florida,,BrightEnergy Co,,2026-05-04,Proposal,91,Battery Storage,55272763,
Florida,,FutureGen Energy,,2026-01-18,Contract Signed,347,Wind Farm,524616461,
Texas,,Acme Energy,,2026-01-12,Contract Signed,749,Offshore Wind,3285597105,
Arizona,,FutureGen Energy,,2026-04-22,Proposal,735,Offshore Wind,3052224210,
Arizona,,EcoWatt Systems,,2026-10-20,Pre-Qualification,416,Wind Farm,664075776,
Colorado,,,,,Pre-Qualification,126,Battery Storage,61038684,
Arizona,,CleanGrid Solutions,,2026-05-21,Proposal,392,Offshore Wind,1208460736,
Washington,,WindForce LLC,,2026-05-31,Qualification,583,Wind Farm,857386618,
Washington,,WindForce LLC,,,Proposal,113,Solar PV,92214893,
Texas,,GreenPower Corp,,2026-09-06,Pre-Qualification,369,Hybrid Solar+Storage,421970688,
Texas,,Acme Energy,,2026-06-05,Qualification,251,Hybrid Solar+Storage,255341798,
Utah,,SolarTech Inc,,2026-05-25,Qualification,162,Battery Storage,72002682,
Utah,,Acme Energy,,2026-04-08,Proposal,450,Wind Farm,695771550,
Utah,,RenewableFirst,,2026-02-05,Contract Signed,161,Battery Storage,80588067,
